name,price,currency,currencySymbol,currencyCode,country,description
Industrial Climbing & Rooftop Safety,13.00,GBP,£,GBP,United Kingdom,Industrial Climbing & Rooftop Safety
Advance Working At Height & Rescue,8.00,GBP,£,GBP,United Kingdom,Advance Working At Height & Rescue
Working at Heights,7.00,GBP,£,GBP,United Kingdom,Working at Heights
Working at Height and Rescue Training,8.00,GBP,£,GBP,United Kingdom,Working at Height and Rescue Training
Safetech Level 2 Award in Accident Investigation,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in Accident Investigation
Safetech Level 2 in Incident Investigation,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 in Incident Investigation
Safetech Level 3 Award in Accident Investigation & Prevention,6.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Award in Accident Investigation & Prevention
Safetech Level 3 Award in Incident Investigations for Accidents & Near Misses,8.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Award in Incident Investigations for Accidents & Near Misses
Safetech Level 4 Award in Incident Investigation & Reporting,13.00,GBP,£,GBP,United Kingdom,Safetech Level 4 Award in Incident Investigation & Reporting
Sasfetech Level 4 Award in Accident Investigation & Reporting,13.00,GBP,£,GBP,United Kingdom,Sasfetech Level 4 Award in Accident Investigation & Reporting
Safetech Accident Investigation & Root Cause Analysis,7.00,GBP,£,GBP,United Kingdom,Safetech Accident Investigation & Root Cause Analysis
Safetech Qualification in  Accident Investigation & Root Cause Analysis,13.00,GBP,£,GBP,United Kingdom,Safetech Qualification in  Accident Investigation & Root Cause Analysis
Safetech Qualification in  Accident Investigation Specialist (AIS),8.00,GBP,£,GBP,United Kingdom,Safetech Qualification in  Accident Investigation Specialist (AIS)
Safetech Qualification in  Accident Investigation & Root Cause Analysis,13.00,GBP,£,GBP,United Kingdom,Safetech Qualification in  Accident Investigation & Root Cause Analysis
Accident Investigation Specialist,13.00,GBP,£,GBP,United Kingdom,Accident Investigation Specialist
Award in Incident Investigation & Root Cause Analysis,13.00,GBP,£,GBP,United Kingdom,Award in Incident Investigation & Root Cause Analysis
Safetech Qualification in  Incident Investigation Specialist (IIS),13.00,GBP,£,GBP,United Kingdom,Safetech Qualification in  Incident Investigation Specialist (IIS)
HAZOP Fundamentals,10.00,GBP,£,GBP,United Kingdom,HAZOP Fundamentals
Advanced HAZOP Analysis,10.00,GBP,£,GBP,United Kingdom,Advanced HAZOP Analysis
HAZOP Risk Evaluation,10.00,GBP,£,GBP,United Kingdom,HAZOP Risk Evaluation
HAZOP Risk Management,10.00,GBP,£,GBP,United Kingdom,HAZOP Risk Management
HAZOP Leadership & Facilitation,10.00,GBP,£,GBP,United Kingdom,HAZOP Leadership & Facilitation
HAZOP and Accident Prevention,10.00,GBP,£,GBP,United Kingdom,HAZOP and Accident Prevention
HAZOP in Incident Prevention Strategies,10.00,GBP,£,GBP,United Kingdom,HAZOP in Incident Prevention Strategies
Accident Investigator,8.00,GBP,£,GBP,United Kingdom,Accident Investigator
Incident Investigator,8.00,GBP,£,GBP,United Kingdom,Incident Investigator
Incident Commander,7.00,GBP,£,GBP,United Kingdom,Incident Commander
Incident reporting & Investigation,7.00,GBP,£,GBP,United Kingdom,Incident reporting & Investigation
Incident Investigation and Root Cause Analysis,6.00,GBP,£,GBP,United Kingdom,Incident Investigation and Root Cause Analysis
Safetech Level 2 Award in Emergency Response,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in Emergency Response
Safetech Level 2 Award in Confined Spaces Safety,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in Confined Spaces Safety
Safetech Level 3 Award in Emergency Rescue from Confined Space,8.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Award in Emergency Rescue from Confined Space
Safetech Level 3 in Confined Space Rescue,10.00,GBP,£,GBP,United Kingdom,Safetech Level 3 in Confined Space Rescue
SCBA Donning,8.00,GBP,£,GBP,United Kingdom,SCBA Donning
Confined Space Entry,7.00,GBP,£,GBP,United Kingdom,Confined Space Entry
Confined Space Entry Stand By Man,8.00,GBP,£,GBP,United Kingdom,Confined Space Entry Stand By Man
Hole Watcher,8.00,GBP,£,GBP,United Kingdom,Hole Watcher
Standby Man/Hole Watcher,8.00,GBP,£,GBP,United Kingdom,Standby Man/Hole Watcher
Authorized Gas Tester,7.00,GBP,£,GBP,United Kingdom,Authorized Gas Tester
Confined Space Entry Stand By Man,8.00,GBP,£,GBP,United Kingdom,Confined Space Entry Stand By Man
Confined Space Entry Foreman,12.00,GBP,£,GBP,United Kingdom,Confined Space Entry Foreman
Safe Confined Space Supervisor,8.00,GBP,£,GBP,United Kingdom,Safe Confined Space Supervisor
Confined Space Entry Supervisor,8.00,GBP,£,GBP,United Kingdom,Confined Space Entry Supervisor
Award in Confined Space Entry Specialist,12.00,GBP,£,GBP,United Kingdom,Award in Confined Space Entry Specialist
Confined Space Supervision,8.00,GBP,£,GBP,United Kingdom,Confined Space Supervision
Confined Space Entry Specialist (CSES),12.00,GBP,£,GBP,United Kingdom,Confined Space Entry Specialist (CSES)
Confined Space Entry and Rescue Training,7.00,GBP,£,GBP,United Kingdom,Confined Space Entry and Rescue Training
Safetech Level 1 Award in Fire Safety Awareness,4.00,GBP,£,GBP,United Kingdom,Safetech Level 1 Award in Fire Safety Awareness
Safetch Level 2 Award in Fire Safety Principles,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Fire Safety Principles
Safetech Level 2 Award in Fire Safety Management,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in Fire Safety Management
Safetech Level 2 Award in Fire Marshall,8.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in Fire Marshall
Safetech Level 2 Award in Basic Fire Safety,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in Basic Fire Safety
Safetech Level 2 Award in Fire & Industrial Safety,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in Fire & Industrial Safety
Safetech Level 2 Award in Fire Marshal / Warden,8.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in Fire Marshal / Warden
Fire Watcher,8.00,GBP,£,GBP,United Kingdom,Fire Watcher
Safetech Level 2 Award in Fire Safety Management,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in Fire Safety Management
Safetech Level 3 Award in Fire Safety,8.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Award in Fire Safety
Safetech Level 3 Award in Fire Safety Risk Assessment and Control,8.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Award in Fire Safety Risk Assessment and Control
Safetech Level 3 Award in Fire Safety Management,8.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Award in Fire Safety Management
Safetech Level 3 Award in Fire & Industrial Safety,8.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Award in Fire & Industrial Safety
Safetech Qualification in  Fire Safety for Managers,13.00,GBP,£,GBP,United Kingdom,Safetech Qualification in  Fire Safety for Managers
Safetech Qualification in  Fire Safety & Hazard Management,8.00,GBP,£,GBP,United Kingdom,Safetech Qualification in  Fire Safety & Hazard Management
Safetch Award in Firefighting & Fire Extinguisher Safety,7.00,GBP,£,GBP,United Kingdom,Safetch Award in Firefighting & Fire Extinguisher Safety
Emergency Response Team (ERT),8.00,GBP,£,GBP,United Kingdom,Emergency Response Team (ERT)
Emergency Rescue Training,8.00,GBP,£,GBP,United Kingdom,Emergency Rescue Training
Emergency Response to a Powerline Incident,7.00,GBP,£,GBP,United Kingdom,Emergency Response to a Powerline Incident
Fire Marshal,8.00,GBP,£,GBP,United Kingdom,Fire Marshal
Fire Fighting,7.00,GBP,£,GBP,United Kingdom,Fire Fighting
Applicable Emergency Response Procedures,7.00,GBP,£,GBP,United Kingdom,Applicable Emergency Response Procedures
Emergency Evacuation,7.00,GBP,£,GBP,United Kingdom,Emergency Evacuation
Emergency Response Plan,7.00,GBP,£,GBP,United Kingdom,Emergency Response Plan
Emergency Rescue Team,8.00,GBP,£,GBP,United Kingdom,Emergency Rescue Team
Emergency Rescuer,8.00,GBP,£,GBP,United Kingdom,Emergency Rescuer
Emergency Coordinator,10.00,GBP,£,GBP,United Kingdom,Emergency Coordinator
Fire Truck Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Fire Truck Safe Operator Training
Fire Fighter,7.00,GBP,£,GBP,United Kingdom,Fire Fighter
Fire Safety Inspector,18.00,GBP,£,GBP,United Kingdom,Fire Safety Inspector
Fire Prevention & Control,7.00,GBP,£,GBP,United Kingdom,Fire Prevention & Control
Level 2 Award in COSHH,7.00,GBP,£,GBP,United Kingdom,Level 2 Award in COSHH
Safetch Level 2 Award in Basic Petro Chemical Safety,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Basic Petro Chemical Safety
Safetch Level 3 Award in Petro Chemical Safety,12.00,GBP,£,GBP,United Kingdom,Safetch Level 3 Award in Petro Chemical Safety
Safetch Level 2 Award in COSHH Assessment,8.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in COSHH Assessment
Safetch Level 2 Award in Control of Substances Hazardous to Health,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Control of Substances Hazardous to Health
H2S Awareness Training,7.00,GBP,£,GBP,United Kingdom,H2S Awareness Training
Safetch Award in Control of Substances Hazardous to Health,7.00,GBP,£,GBP,United Kingdom,Safetch Award in Control of Substances Hazardous to Health
LPG Cylinder Handling Safety Training,10.00,GBP,£,GBP,United Kingdom,LPG Cylinder Handling Safety Training
Chemical Handling and Storing,7.00,GBP,£,GBP,United Kingdom,Chemical Handling and Storing
Chemical Hazard Awareness,7.00,GBP,£,GBP,United Kingdom,Chemical Hazard Awareness
Chemical Hazard Recognition,7.00,GBP,£,GBP,United Kingdom,Chemical Hazard Recognition
Chemical Safety,8.00,GBP,£,GBP,United Kingdom,Chemical Safety
Control of Substances Hazardous to Health (COSHH),7.00,GBP,£,GBP,United Kingdom,Control of Substances Hazardous to Health (COSHH)
H2S & SCBA Awareness,8.00,GBP,£,GBP,United Kingdom,H2S & SCBA Awareness
Hazardous Area Classification & Safety,7.00,GBP,£,GBP,United Kingdom,Hazardous Area Classification & Safety
Level 2 Award in Basic Rigger and Signalman,7.00,GBP,£,GBP,United Kingdom,Level 2 Award in Basic Rigger and Signalman
Level 2 Award in Lifting & Rigging Safety,7.00,GBP,£,GBP,United Kingdom,Level 2 Award in Lifting & Rigging Safety
Level 2 Award in Manual Handling Principles and Practices,7.00,GBP,£,GBP,United Kingdom,Level 2 Award in Manual Handling Principles and Practices
Level 3 Award in Lifting & Rigging Safety,8.00,GBP,£,GBP,United Kingdom,Level 3 Award in Lifting & Rigging Safety
Level 3 Award in Principles of Rigger and Signalman,8.00,GBP,£,GBP,United Kingdom,Level 3 Award in Principles of Rigger and Signalman
Level 4 Award in Advanced Rigger and Signalman,10.00,GBP,£,GBP,United Kingdom,Level 4 Award in Advanced Rigger and Signalman
Award in Basic Rigger and Signalman,7.00,GBP,£,GBP,United Kingdom,Award in Basic Rigger and Signalman
Rigging and lifting supervisor ,27.00,GBP,£,GBP,United Kingdom,Rigging and lifting supervisor 
Rigging and lifting Inspector ,27.00,GBP,£,GBP,United Kingdom,Rigging and lifting Inspector 
Lift Plan Training,8.00,GBP,£,GBP,United Kingdom,Lift Plan Training
Award in Equipment Safety Inspection,13.00,GBP,£,GBP,United Kingdom,Award in Equipment Safety Inspection
Manual Handling Training,7.00,GBP,£,GBP,United Kingdom,Manual Handling Training
Lifting Plan,8.00,GBP,£,GBP,United Kingdom,Lifting Plan
Lifting Planner,10.00,GBP,£,GBP,United Kingdom,Lifting Planner
Banksman & Slinger,8.00,GBP,£,GBP,United Kingdom,Banksman & Slinger
Rigger level I,7.00,GBP,£,GBP,United Kingdom,Rigger level I
Lifting Foreman,12.00,GBP,£,GBP,United Kingdom,Lifting Foreman
Rigger level II,18.00,GBP,£,GBP,United Kingdom,Rigger level II
Lifting Supervisor,13.00,GBP,£,GBP,United Kingdom,Lifting Supervisor
Certified Lifting Equipment Inspector,45.00,GBP,£,GBP,United Kingdom,Certified Lifting Equipment Inspector
Rigging & Lifting Safe Operation,7.00,GBP,£,GBP,United Kingdom,Rigging & Lifting Safe Operation
Award in Flagman Safety Training,7.00,GBP,£,GBP,United Kingdom,Award in Flagman Safety Training
Award in Equipment Safety Inspection,13.00,GBP,£,GBP,United Kingdom,Award in Equipment Safety Inspection
Award in Lifting & Rigging Supervisor,8.00,GBP,£,GBP,United Kingdom,Award in Lifting & Rigging Supervisor
Award in Lifting Supervisor,8.00,GBP,£,GBP,United Kingdom,Award in Lifting Supervisor
Equipment Inspector,10.00,GBP,£,GBP,United Kingdom,Equipment Inspector
Prevention Suspended Access,7.00,GBP,£,GBP,United Kingdom,Prevention Suspended Access
Dropped Object Awareness,7.00,GBP,£,GBP,United Kingdom,Dropped Object Awareness
Rigging and Lifting Supervisor,13.00,GBP,£,GBP,United Kingdom,Rigging and Lifting Supervisor
Safetech Level 3 Award in risk assessment,8.00,GBP,£,GBP,United Kingdom,Safetech Level 3 Award in risk assessment
Safetech Level 2 Award in risk assessment,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in risk assessment
Risk Assessor ,10.00,GBP,£,GBP,United Kingdom,Risk Assessor 
Risk assessment supervsior,10.00,GBP,£,GBP,United Kingdom,Risk assessment supervsior
Hazard Identification & Risk Assessment,10.00,GBP,£,GBP,United Kingdom,Hazard Identification & Risk Assessment
Hazard Assessment,7.00,GBP,£,GBP,United Kingdom,Hazard Assessment
Hazard Recognition,7.00,GBP,£,GBP,United Kingdom,Hazard Recognition
Critical Task Analysis,8.00,GBP,£,GBP,United Kingdom,Critical Task Analysis
Safetech Level 2 Award in Food Safety Management,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in Food Safety Management
Safetech Level 2 Award in Food Safety Catering,7.00,GBP,£,GBP,United Kingdom,Safetech Level 2 Award in Food Safety Catering
Safetch Level 2 Award in Food Safety Manufacturing,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Food Safety Manufacturing
Safetch Level 2 Award in Food Safety Retail,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Food Safety Retail
Safetch Level 2 Award in Food Safety,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Food Safety
Safetch Level 2 Award in HACCP Based Food Safety System in Manufacturing,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in HACCP Based Food Safety System in Manufacturing
Safetch Level 2 Award in Principles of HACCP,8.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Principles of HACCP
Safetch Level 2 Award in Food Safety Retail,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Food Safety Retail
Safetch Level 2 Award in Food Safety Manufacturing,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Food Safety Manufacturing
Safetch Level 2 Award in Food Safety Catering,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Food Safety Catering
Safetch Level 3 Award in HACCP,10.00,GBP,£,GBP,United Kingdom,Safetch Level 3 Award in HACCP
Safetch Level 3 Award in Food Safety Supervision for Manufacturing,10.00,GBP,£,GBP,United Kingdom,Safetch Level 3 Award in Food Safety Supervision for Manufacturing
Safetch Level 3 Award in Food Safety Supervision for Retail,10.00,GBP,£,GBP,United Kingdom,Safetch Level 3 Award in Food Safety Supervision for Retail
Safetch Level 3 Award in Food Safety Supervision for Catering,10.00,GBP,£,GBP,United Kingdom,Safetch Level 3 Award in Food Safety Supervision for Catering
Safetch Level 3 Award in Food Safety Management,8.00,GBP,£,GBP,United Kingdom,Safetch Level 3 Award in Food Safety Management
Safetch Level 3 Award in Food Safety Supervisior,8.00,GBP,£,GBP,United Kingdom,Safetch Level 3 Award in Food Safety Supervisior
Safetch Level 3 Award in Food Safety,10.00,GBP,£,GBP,United Kingdom,Safetch Level 3 Award in Food Safety
Safetch Level 4 Award in Food Process Safety Management,18.00,GBP,£,GBP,United Kingdom,Safetch Level 4 Award in Food Process Safety Management
Safetch Level 4 Award in Food Hygiene and Safety Management,18.00,GBP,£,GBP,United Kingdom,Safetch Level 4 Award in Food Hygiene and Safety Management
Safetch Level 4 Award in Food Safety Management for Manufacturing,13.00,GBP,£,GBP,United Kingdom,Safetch Level 4 Award in Food Safety Management for Manufacturing
Safetch Level 4 Award in Managing Food Safety in Catering,13.00,GBP,£,GBP,United Kingdom,Safetch Level 4 Award in Managing Food Safety in Catering
Food Safety Inspector,18.00,GBP,£,GBP,United Kingdom,Food Safety Inspector
Safetch Award in Food Safety and Sanitation for Food Manufacturers,18.00,GBP,£,GBP,United Kingdom,Safetch Award in Food Safety and Sanitation for Food Manufacturers
Safetch Award in Food Safety for Management Professionals,18.00,GBP,£,GBP,United Kingdom,Safetch Award in Food Safety for Management Professionals
Safetch Award in Food Quality Control (FQC),13.00,GBP,£,GBP,United Kingdom,Safetch Award in Food Quality Control (FQC)
Safetch Award in Food Safety Hazards,10.00,GBP,£,GBP,United Kingdom,Safetch Award in Food Safety Hazards
Crane Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Crane Safe Operator Training
Excavator Safe Operator Training,7.00,GBP,£,GBP,United Kingdom,Excavator Safe Operator Training
Forklift Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Forklift Safe Operator Training
Tower Crane Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Tower Crane Safe Operator Training
Stacker Operator Training,10.00,GBP,£,GBP,United Kingdom,Stacker Operator Training
Safetch Award in Boom Lift Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Safetch Award in Boom Lift Safe Operator Training
Forklift Safety,7.00,GBP,£,GBP,United Kingdom,Forklift Safety
Forklift Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Forklift Safe Operator Training
Excavator Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Excavator Safe Operator Training
Crane Operator Training,10.00,GBP,£,GBP,United Kingdom,Crane Operator Training
Tower Crane Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Tower Crane Safe Operator Training
Wheel Loader Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Wheel Loader Safe Operator Training
Sideboom Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Sideboom Safe Operator Training
Compactor Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Compactor Safe Operator Training
Manlift Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Manlift Safe Operator Training
Boom Lift Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,Boom Lift Safe Operator Training
HIAP Safe Operator Training,10.00,GBP,£,GBP,United Kingdom,HIAP Safe Operator Training
Safetech Level 1 Award in Scaffolding Safety Awareness,7.00,GBP,£,GBP,United Kingdom,Safetech Level 1 Award in Scaffolding Safety Awareness
Safetch Level 2 Award in Scaffolder (Erector),8.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Scaffolder (Erector)
Safetch Level 2 Award in Basic Scaffolding Safety,7.00,GBP,£,GBP,United Kingdom,Safetch Level 2 Award in Basic Scaffolding Safety
